title,org,category,tags,source_of_finance,project_title,eligibility,contractor_class,performance_period,place_of_performance,dossier_fee,pre_bid_meeting,contact_email,created_date,submission_deadline,submission_time,pdf_url,pdf_accessible,description,detail_url
Hard Shoulder Replacement at the Seychelles International Airport.,Seychelles Airports Authority,Infrastructure,,,Hard Shoulder Replacement at Seychelles International Airport.,All contractors CLASS I only registered and licensed to operate in Seychelles.,CLASS I,Six (6) Months from Notice to Commence.,Seychelles International Airport,SR 500,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,23 July 2025.,2025-08-12,10:00,https://www.ntb.sc/media/tender-files/Advert_-_Hardshoulder_Replacement_at_SIA_V2_copy_1.pdf,True,"Posted in Advertised Tenders . The Seychelles Airports Authority invites bidders to bid for Hard Shoulder Replacement at the Seychelles International Airport. All contractors CLASS I only registered and licensed to operate in Seychelles The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/hard-shoulder-replacement-at-the-seychelles-international-airport
Procurement Of Metal Cupboards,Ministry of Education,Infrastructure,,,,,,,,SR 150.00,"30th July 2025 at
10",ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,23 July 2025.,2025-08-11,10:00,https://www.ntb.sc/media/tender-files/Advert_-_Final_2_-_CORRIGENDUM.pdf,True,"Posted in Advertised Tenders . The Ministry of Education is inviting for bids from local suppliers for the: Procurement of Metal Cupboards. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/procurement-of-metal-cupboards
"Construction Of Motorable Access Road And Drainage - St Jorre Road, Cascade",Seychelles Infrastructure Agency,Roads & seawalls,,LOCAL GOVERNMENT PSIP COMMUNITY ROAD PROJECT,,The following are eligible to tender on equal terms. Contractors Class 2 registered and licensed to operate in Seychelles.,Class 2,,,,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,23 July 2025.,2025-08-11,10:30,,False,"Posted in Advertised Tenders . Seychelles Infrastructure Agency on behalf of the Ministry Of Local Government And Community Affairs (MLGCA): invitation to tender: Construction Of Motorable Access Road And Drainage - St Jorre Road, Cascade Source Of Finance: LOCAL GOVERNMENT PSIP COMMUNITY ROAD PROJECT The following are eligible to tender on equal terms. Contractors Class 2 registered and licensed to operate in Seychelles. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/construction-of-motorable-access-road-and-drainage-st-jorre-road-cascade
"Major Repairs Of The Anse Louis Home For The Elderly, Anse Boileau",Seychelles Infrastructure Agency,Infrastructure,,Government of Seychelles,,The following are eligible to tender on equal terms. Contractors Class 2 & 3 only registered and licensed to operate in Seychelles.,Class 2,12 Calendar Weeks,"Anse Louis, Anse Boileau",SR 350.00,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,23 July 2025.,2025-08-13,10:30,https://www.ntb.sc/media/tender-files/ADVERT-_MAJOR_REPAIRS_OF_THE_ANSE_LOUIS_HOME_FOR_THE_ELDERLY_ANSE_BOILEAU_2.07.25.pdf,True,"Posted in Advertised Tenders . Seychelles Infrastructure Agency on behalf of the Ministry Of Local Government And Community Affairs:  invitation to tender Major Repairs Of The Anse Louis Home For The Elderly, Anse Boileau source of finance: Government of Seychelles The following are eligible to tender on equal terms. Contractors Class 2 & 3 only registered and licensed to operate in Seychelles. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/major-repairs-of-the-anse-louis-home-for-the-elderly-anse-boileau
"Tender For The Relocation Of Service Duct For Seypec At Fishing Port, Victoria",Seychelles Ports Authority,Infrastructure,,Seychelles Ports Authority,,,Class 1,,,,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,23 July 2025.,2025-08-07,11:00,,False,"Posted in Advertised Tenders . Seychelles Ports Authority ; invitation to tender: Tender For The Relocation Of Service Duct For Seypec At Fishing Port, Victoria Source of Finance: Seychelles Ports Authority Eligibility: The following are eligible to tender on equal terms:  Contractors Class 1 registered and licensed to operate in Seychelles. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/tender-for-the-relocation-of-service-duct-for-seypec-at-fishing-port-victoria
Removal And Replacement Of Fence At Palais De Justice,SEYCHELLES INFRASTRUCTURE AGENCY,Infrastructure,,Government of Seychelles,,"The following are eligible to tender on equal terms: A      Contractors Class II registered and licensed to operate in Seychelles. B,",Class II,12 Calendar Weeks,"The site is situated at Palais De Justice, Magistrate Court parking within Ile Du",SR 250.00,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,23 July 2025.,2025-08-06,10:00,https://www.ntb.sc/media/tender-files/Tender_advert-_Palais_De_Justice_Fencing.pdf,True,"Posted in Advertised Tenders . Removal And Replacement Of Fence At Palais De Justice. Source of Finance: Government of Seychelles Eligibility: The following are eligible to tender on equal terms: A      Contractors Class II registered and licensed to operate in Seychelles. B,      Conditions: The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/removal-and-replacement-of-fence-at-palais-de-justice
Hard Shoulder Replacement at Seychelles International Airport.,Seychelles Airports Authority,Infrastructure,,,Hard Shoulder Replacement at Seychelles International Airport.,All contractors CLASS I only registered and licensed to operate in Seychelles.,CLASS I,Six (6) Months from Notice to Commence.,Seychelles International Airport,SR 500,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,21 July 2025.,2025-08-12,10:00,https://www.ntb.sc/media/tender-files/Advert_-_Hardshoulder_Replacement_at_SIA_V2.pdf,True,"Posted in Advertised Tenders . The Seychelles Airports Authority invites bidders to bid for Hard Shoulder Replacement at the Seychelles International Airport. Source of Funding: Seychelles Airports Authority. Project Title: Hard Shoulder Replacement at Seychelles International Airport. Eligibility: All contractors CLASS I only registered and licensed to operate in Seychelles. Conditions 1) Bidder must not have any ongoing project(s) with any Public Procuring Entity; i. which has/have delayed beyond the respective completion date(s) set out in the respective Contract (s) due to delays attributable to the Contractor or ii. where actual progress of works has fallen behind the expected progress, due to delays attributed to the Contractor. iii. Have had no previous Contract(s), if any, terminated as a result of poor performance in the last three (3) years Place of Performance: Seychelles International Airport Performance Period: Six (6) Months from Notice to Commence. Access to Tender Dossier: The tender Dossiers can be obtained from the Procurement Section, Seychelles Airports Authority, Sunshine House at Providence Industrial Zone, Mahe as of Tuesday 22nd July 2025 between 0900hrs to 1500hrs against payment of a non-refundable fee of SCR500/- each. Closing Date for Dossier: The closing date for obtaining the tender dossier is Monday 28th July 2025 at 1500hrs. NO TENDER DOSSIER WILL BE AVAILABLE AFTER CLOSING DATE. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/hard-shoulder-replacement-at-seychelles-international-airport
SFA-Procurement of Two (2) Smart Hybrid SUV Vehicles,Seychelles Fisheries Authority,Infrastructure,Vehicles,SFA Budget,,,,,,,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,10 July 2025.,2025-08-04,10:00,,False,"Posted in Advertised Tenders . The Seychelles Fisheries Authority (SFA) invites tenders for the Procurement of Two (2) Smart Hybrid SUV Vehicles SOURCE OF FINANCE    : SFA Budget Project Title: Tender for the Procurement of Two (2) Smart Hybrid SUV Vehicles. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/sfa-procurement-of-two-2-smart-hybrid-suv-vehicles
"Supply of 20, 25, 32, 40, and 63mm HDPE (High Density Polyethylene) pipes for potable water applications",Public Utilities Corporation,Infrastructure,Good and Services,The Public Utilities Corporation (PUC),"Supply of 20, 25, 32, 40, and 63mm HDPE (High Density Polyethylene) pipes for potable water applications.",All local and international manufacturers / suppliers.,,,,,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,03 July 2025.,2025-08-14,10:00,https://www.ntb.sc/media/tender-files/2025-Advert-_HDPE_Pipes.docx,False,"Posted in Advertised Tenders . Source of Finance : The Public Utilities Corporation (PUC) Project Title: Supply of 20, 25, 32, 40, and 63mm HDPE (High Density Polyethylene) pipes for potable water applications. Eligibility : All local and international manufacturers / suppliers. Scope: Bids are invited for the supply of 20, 25, 32, 40, and 63mm HDPE pipes for potable water supply applications. Bidders must quote for all items requested as per the Schedule of Requirements. Good and Services The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/supply-of-20-25-32-40-and-63mm-hdpe-high-density-polyethylene-pipes-for-potable-water-applications
"Re-Fencing of Playground and Installation of Toys at St. Ange, Takamaka",Seychelles Infrastructure Agency,Infrastructure,,Government of Seychelles,"Re-fencing of Playground and Installation of Toys at St. Ange Estate, Takamaka.","The following are eligible to tender on equal terms. All Contractors
Class 2 Certificate only, registered and licensed to operate in
Seychelles.",Class 2,Six (6) Weeks from commencement date.,"St. Ange Estate, Takamaka.",SR 250,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,03 July 2025.,2025-07-22,10:00,https://www.ntb.sc/media/tender-files/SEYCHELLES_INFRASTRUCTURE_AGENCY_FOR_MINISTRY_OF_LOCAL_GOVERNMENT_AND_COMMUNITY_AFFAIRS-AVERT-_TAK-01-25-AMENDED.pdf,True,"Posted in Advertised Tenders . Seychelles Infrastructure Agency On Behalf Of Ministry Of Local Government And Community Affairs invitation to tender Re-Fencing of Playground and Installation of Toys at St. Ange, Takamaka . SOURCE OF FINANCE   :  Government of Seychelles Project Title :  Re-fencing of Playground and Installation of Toys at St. Ange Estate, Takamaka. Eligibility: The following are eligible to tender on equal terms. All Contractors    Class 2 Certificate only, registered and licensed to operate in Seychelles The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/re-fencing-of-playground-and-installation-of-toys-at-st-ange-takamaka
Civil Works for improvement of Salazie trail (Mahe),Public Utilities Corporation,Infrastructure,,The Public Utilities Corporation (PUC),Civil Works for improvement of Salazie trail (Mahe),All Locally Registered Contractors with a valid Class One (1) license operating in Seychelles.,Class One,,,SR 500.00,9th July 2025 at 8:30am,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,03 July 2025.,2025-07-23,10:00,https://www.ntb.sc/media/tender-files/Tender_Press_Notice_-_Civil_works_for_Salazie_Access.pdf,True,"Posted in Advertised Tenders . Source of Finance : The Public Utilities Corporation (PUC) Project Title: Civil Works for improvement of Salazie trail (Mahe) Eligibility : All Locally Registered Contractors with a valid Class One (1) license operating in Seychelles. Subject : PUC intends to undertake civil works for the improvement and upgrading of the access/trail to it’s Salazie (Mahe) water infrastructures. The works shall comprise of the following: The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/civil-works-for-improvement-of-salazie-trail-mahe
"Construction Of Seawall, Parapet Wall & Backfilling At North East Point (Rehab To Corail D’or)",Seychelles Land Transport Agency,Roads & seawalls,,Government of Seychelles,,"The following are eligible to tender on equal terms. All Contractors Class 1 only registered and licensed to operate in Seychelles. Bidder who has an existing civil work contract with the SLTA, for which those contracts are less than 70% completed, will not be eligible to participate in this tender",Class 1,Six (6) Months,N.E. Point (Rehab to Corail D’or). Created on 03 July 2025. Download Tender File,SR 500.00,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,03 July 2025.,2025-07-29,10:00,https://www.ntb.sc/media/tender-files/PROPOSED_SEAWALL_PARAPET_WALL__BACKFILLING_AT_NORTH_EAST_POINT_REHAB__.pdf,True,"Posted in Advertised Tenders . Seychelles Land Transport Agency invitation to tender Construction Of Seawall, Parapet Wall & Backfilling At North East Point (Rehab To Corail D’or) Source Of Finance: Government of Seychelles Eligibility: The following are eligible to tender on equal terms. All Contractors Class 1 only registered and licensed to operate in Seychelles. Place Of Performance: N.E. Point (Rehab to Corail D’or). The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/construction-of-seawall-parapet-wall-backfilling-at-north-east-point-rehab-to-corail-dor
"Construction Of Seawall, Parapet Wall & Backfilling At Mare Anglaise, Beau-Vallon (From Big Blue Divers To Pti Payot)",Seychelles Land Transport Agency,Roads & seawalls,,Government of Seychelles,,"The following are eligible to tender on equal terms. All Contractors Class 1 only registered and licensed to operate in Seychelles. Bidder who has an existing civil work contract with the SLTA, for which those contracts are less than 70% completed, will not be eligible to participate in this tender",Class 1,Four (4) Months,Beau-vallon (From Big Blue Divers to Pti Payot) Created on 03 July 2025. Download Tender File,SR 500.00,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,03 July 2025.,2025-07-29,10:00,https://www.ntb.sc/media/tender-files/PROPOSED_SEAWALL_PARAPET_WALL__BACKFILLING_AT_MARE_ANGLAISE_BEAU-VALL_.pdf,True,"Posted in Advertised Tenders . Seychelles Land Transport Agency invitation to tender Construction Of Seawall, Parapet Wall & Backfilling At Mare Anglaise, Beau-Vallon (From Big Blue Divers To Pti Payot) Source Of Finance: Government of Seychelles Eligibility: The following are eligible to tender on equal terms. All Contractors Class 1 only registered and licensed to operate in Seychelles. PLACE OF PERFORMANCE : Beau-vallon (From Big Blue Divers to Pti Payot) The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/construction-of-seawall-parapet-wall-backfilling-at-mare-anglaise-beau-vallon-from-big-blue-divers-to-pti-payot
"Construction Of Seawall, Parapet Wall & Backfilling At Mare Anglaise, Beau-Vallon (From Mike Store To La Batie Junction)",Seychelles Land Transport Agency,Roads & seawalls,,Government of Seychelles,,"The following are eligible to tender on equal terms. All Contractors Class 1 only registered and licensed to operate in Seychelles. Bidder who has an existing civil work contract with the SLTA, for which those contracts are less than 70% completed, will not be eligible to participate in this tender",Class 1,Four (4) Months,Beau-Vallon (From Mike Store to La Batie Junction).,SR 500.00,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,03 July 2025.,2025-07-29,10:00,https://www.ntb.sc/media/tender-files/PROPOSED_SEAWALL_PARAPET_WALL__BACKFILLING_AT_MARE_ANGLAISE_BEAU-VALL__003.pdf,True,"Posted in Advertised Tenders . Seychelles Land Transport Agency invitation to tender  Construction Of Seawall, Parapet Wall & Backfilling At Mare Anglaise, Beau-Vallon (From Mike Store To La Batie Junction) Source Of Finance: Government of Seychelles Eligibility: The following are eligible to tender on equal terms. All Contractors Class 1 only registered and licensed to operate in Seychelles. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/construction-of-seawall-parapet-wall-backfilling-at-mare-anglaise-beau-vallon-from-mike-store-to-la-batie-junction
DBS - Procurement of One (1) Hybrid Sport Utility Vehicle (SUV),Development Bank of Seychelles,Infrastructure,Vehicles,Development Bank of Seychelles,Procurement of One (1) Hybrid Sport Utility Vehicle (SUV),The following are eligible to tender on equal terms. All licensed and registered Motor Vehicle dealers operating in Seychelles.,,,,Free,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,27 June 2025.,2025-07-21,10:00,,False,"Posted in Advertised Tenders . The Development Bank of Seychelles (DBS) invites tenders for the Procurement of One (1) Hybrid Sport Utility Vehicle (SUV) SOURCE OF FINANCE  : Development Bank of Seychelles Project Title  : Procurement of One (1) Hybrid Sport Utility Vehicle (SUV) Eligibility    : The following are eligible to tender on equal terms. All licensed and registered Motor Vehicle dealers operating in Seychelles. Subject     : The purpose of the vehicle is to facilitate the bank’s transportation needs and will be used for administrative duties and site visit purposes. Period of Delivery    : Within Three (3) Months from the date of confirmation Access to tender Dossier  : The tender Dossiers can be obtained at the DBS Reception at Independence Avenue, Victoria or via email from This email address is being protected from spambots. You need JavaScript enabled to view it. as from Tuesday 1st July 2025 Closing date for Dossier    : The closing date for obtaining the tender dossier is 11:00am on Monday 7th July 2025 Note: The tender documents are to be given to the interested bidders for free. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/dbs-procurement-of-one-1-hybrid-sport-utility-vehicle-suv
SIA - Procurement of Two (2) Economic vehicles,Seychelles Infrastructure Agency,Infrastructure,Vehicles,Government budget,Procurement of two (2) Economic Vehicles,The following are eligible to tender on equal terms. All licensed   Motor Vehicle dealers operating in  Seychelles.,,,,,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,23 June 2025.,2025-07-17,10:00,,False,"Posted in Advertised Tenders . The Seychelles Infrastructure Agency (SIA) invites tenders for the Procurement of Two (2) Economic vehicles SOURCE OF FINANCE : Government budget Project Title: Procurement of two (2) Economic Vehicles Eligibility: The following are eligible to tender on equal terms. All licensed   Motor Vehicle dealers operating in  Seychelles. Subject: Vehicle to be used for administrative and transportation of staff. Period of Delivery: Three (3) Months The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/sia-procurement-of-two-2-economic-vehicles
SFA - Procurement of one (1) Double Cabin Truck,Seychelles Fisheries Authority,Infrastructure,Vehicles,Grant Budget,Tender for the Procurement of One (1) Double Cabin Truck.,All licensed And Registered Motor Vehicle dealers operating in Seychelles are eligible to      tender on equal terms.,,,,,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,17 June 2025.,2025-07-15,10:30,,False,"Posted in Advertised Tenders . The Seychelles Fisheries Authority (SFA) invites tenders for the Procurement of one (1) Double Cabin Truck SOURCE OF FINANCE    : Grant Budget Project Title   : Tender for the Procurement of One (1) Double Cabin Truck. Eligibility    : All licensed And Registered Motor Vehicle dealers operating in Seychelles are eligible to      tender on equal terms. Subject : The vehicle will be used by SFA for transportation of staff. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/sfa-procurement-of-one-1-double-cabin-truck
SBS-The Procurement of (1) One Twin Cab Pick-up,,Infrastructure,Vehicles,Government Budget,Procurement of (1) One Twin Cab Pick-up,"The following are eligible to tender on equal terms. All licensed
Motor Vehicle dealers operating in Seychelles.",,,,Free,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,16 June 2025.,2025-07-14,11:00,https://www.ntb.sc/media/tender-files/Advert_-_Procurement_of_Twin_Cab_for_SBS_002.pdf,True,"Posted in Advertised Tenders . The Seychelles Bureau of Standards (SBS) invites tenders for The Procurement of (1) One Twin Cab Pick-up SOURCE OF FINANCE: Government Budget Project Title: Procurement of (1) One Twin Cab Pick-up Eligibility  : The following are eligible to tender on equal terms. All licensed  Motor Vehicle dealers operating in Seychelles. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/sbs-the-procurement-of-1-one-twin-cab-pick-up
SPGA - Procurement of One (1) Four Wheel Drive (4x4) Double Cab Vehicle,,Infrastructure,Vehicles,Seychelles Parks and Gardens Authority,Procurement of One (1) Four Wheel Drive (4x4) Double Cab Vehicle,The following are eligible to tender on equal terms. All licensed Motor Vehicle dealers operating in Seychelles.,,,,,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,11 June 2025.,2025-07-01,11:30,https://www.ntb.sc/media/tender-files/Advert-_Procurement_of_Vehicle_SPGA_00000002.docx,False,"Posted in Advertised Tenders . The Seychelles Parks and Gardens Authority (SPGA) invites tenders for the Procurement of One (1) Four Wheel Drive (4x4) Double Cab Vehicle SOURCE OF FINANCE :  Seychelles Parks and Gardens Authority Project Title :  Procurement of One (1) Four Wheel Drive (4x4) Double Cab Vehicle Eligibility :The following are eligible to tender on equal terms. All licensed Motor Vehicle dealers operating in Seychelles. Subject  : Vehicle is to be used for site visits by the Technical Teams. Period of Delivery :  Three (3) Months from the date of Contract Award Access to tender Dossier :The tender dossiers can be obtained at the Reception, Seychelles Parks and Gardens Authority, 1stFloor, Azores Building, Ile du Port as from Thursday 12th June 2025 between 9.00am to 2.30pm. Soft Copy of the Tender Dossiers can be obtained via e-mail at This email address is being protected from spambots. You need JavaScript enabled to view it. Closing date for Dossier : The closing date for obtaining the tender dossier is Friday 20th June 2025 at 2.30pm The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/spga-procurement-of-one-1-four-wheel-drive-4x4-double-cab-vehicle
Partitioning Works For New Rehabilitation Facilities At The Wellness Center - Les Canelles,Seychelles Infrastructure Agency,Infrastructure,,Government of Seychelles,,"The following are eligible to tender on equal terms . Contractors Class 3 Only, registered and licensed to operate in Seychelles.",Class 3,Four (4) Calendar Weeks,Wellness Center - Les Canelles,SR 250.00,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,10 June 2025.,2025-07-01,10:30,https://www.ntb.sc/media/tender-files/ADVERT-PARTITIONING_WORKS_FOR_NEW_REHABILITATION_FACILITIES_AT_THE_WELLNESS_CENTER_-_LES_CANELLES.pdf,True,"Posted in Advertised Tenders . Seychelles Infrastructure Agency On Behalf Of The Health Care Agency invitation to tender Partitioning Works For New Rehabilitation Facilities At The Wellness Center - Les Canelles Source Of Finance: Government of Seychelles Eligibility: The following are eligible to tender on equal terms . Contractors Class 3 Only, registered and licensed to operate in Seychelles. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/partitioning-works-for-new-rehabilitation-facilities-at-the-wellness-center-les-canelles
Proposed Canopy At Eight (8) Units At Roche Caiman,Seychelles Infrastructure Agency,Infrastructure,,Capital Fund,,The following are eligible to tender on equal terms. Contractors Class 2 registered and licensed to operate in Seychelles.,Class 2,12 Calendar Weeks,Roche Caiman,SR 500.00,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,10 June 2025.,2025-07-04,10:30,https://www.ntb.sc/media/tender-files/TENDER_ADVERT_-__PROPOSED_CANOPY_AT_8_UNITS_ROCHE_CAIMAN_Final.pdf,True,"Posted in Advertised Tenders . Seychelles Infrastructure Agency On Behalf Of Property Management Corporation (Pmc) invitation to tender Proposed Canopy At Eight (8) Units At Roche Caiman The following are eligible to tender on equal terms. Contractors Class 2 registered and licensed to operate in Seychelles. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/proposed-canopy-at-eight-8-units-at-roche-caiman
FSA - Procurement of Vehicles (Divided into Two (2) Lots,Financial Services Authority,Infrastructure,Vehicles,Financial Services Authority.,,The following are eligible to tender on equal terms. All licensed Motor Vehicle dealers operating in Seychelles.,,,,Free,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,02 June 2025.,2025-06-17,10:30,https://www.ntb.sc/media/tender-files/Advert-_Procurement_of_vehicles.docx,False,"Posted in Advertised Tenders . The Financial Services Authority (“FSA”) invites tenders for the Procurement of Vehicles. The tender is divided into the following lots: 1. Lot 1 – One (1) Electric Vehicle 2. Lot 2 – One (1) Hybrid Vehicle Source of finance: Financial Services Authority. Eligibility : The following are eligible to tender on equal terms. All licensed Motor Vehicle dealers operating in Seychelles. Subject : Vehicles are to be used for administrative duties and inspection visits. Period of Delivery : Three (3) Months to Four (4) Months from the date of the award of contract. Access to tender Dossier : The Tender Dossier can be obtained at the FSA’s Procurement Unit, Room 302 at Sunshine Commercial Building, Providence Industrial Estate or by emailing the Procurement Unit at This email address is being protected from spambots. You need JavaScript enabled to view it. as from Monday 2nd June 2025 between 8:30am to 3:00pm. Closing date for Dossier : The closing date for obtaining the tender dossier is Friday 6th June 2025 at 12.00pm. Note: The tender documents are to be given to interested bidders for free. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/fsa-procurement-of-vehicles-divided-into-two-2-lots
Construction Of Retaining Wall At Les Mamelles,SEYCHELLES INFRASTRUCTURE AGENCY,Infrastructure,,Government of Seychelles,,The following are eligible to tender on equal terms. Contractors Class 2 registered and licensed to operate in Seychelles.,Class 2,16 Calendar Weeks,Les Mamelles,SR 350.00,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,26 May 2025.,2025-06-16,10:00,https://www.ntb.sc/media/tender-files/Proposed_construction_of_Retaining_walls_at_Les_Mamelles_FOR_ADVERT.pdf,True,"Posted in Advertised Tenders . SEYCHELLES INFRASTRUCTURE AGENCY ON BEHALF OF THE MINISTRY OF LOCAL GOVERNMENT AND COMMUNITY AFFAIRS INVITATION TO TENDER Construction Of Retaining Wall At Les Mamelles SOURCE OF FINANCE: Government of Seychelles The following are eligible to tender on equal terms. Contractors Class 2 registered and licensed to operate in Seychelles. PLACE OF PERFORMANCE: Les Mamelles PERFORMANCE PERIOD:   16 Calendar Weeks ACCESS TO TENDER DOSSIER: The tender Dossiers can be obtained from the Seychelles Infrastructure Agency (SIA) (MLH) Office, 2nd Floor, Independence House as of Tuesday 27th May 2025 from 9:00am – 2:00pm upon payment of a non-refundable fee of SCR 350.00 each and deadline date for obtaining the dossier shall be on Monday 2nd June 2025 not later than 12:00 noon. Potential Bidders shall provide a copy of the valid license, and the Business Registration Number / NIN upon purchase of the tender dossier and shall be allowed to inspect the tender dossier prior to purchase. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/construction-of-retaining-wall-at-les-mamelles-2
